Centro;"Grupos EBO";"Puestos EBO";"Plazas Ocupadas EBO";Vacantes_EBO;"Grupos TVA";"Puestos TVA";"Plazas Ocupadas TVA";Vacantes_TVA
"PÍO XII";2;12;11;1;0;0;0;0
PIRÁMIDE;1;6;5;1;1;12;3;9
MONTECORONA;2;12;9;3;0;0;0;0
"BIELLO ARAGÓN";1;6;3;3;1;12;3;9
"LA ALEGRÍA";11;66;51;15;1;12;5;7
"SAN JORGE";7;42;32;10;1;12;8;4
ARBOLEDA;9;54;30;24;1;12;14;0
"GLORIA FUERTES";8;48;46;2;2;24;14;10
"CAMPO DE BORJA";1;6;7;0;0;0;0;0
MONCAYO;1;6;5;1;0;0;0;0
"JULIÁN SANZ IBÁÑEZ";2;12;7;5;0;0;0;0
"SAN BRAULIO";2;12;12;0;0;0;0;0
"LA PURÍSIMA PARA NIÑOS SORDOS";16;96;86;10;0;0;0;0
"ATADES CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES";18;108;93;15;3;36;33;3
CEDES;6;36;42;0;1;12;10;2
"RECTOR MAMÉS ESPERABÉ";2;12;14;0;0;0;0;0
"SAN GERMÁN";4;24;20;4;0;0;0;0
"LOS PUEYOS";5;30;15;15;1;12;8;4
"MARÍA SORIANO";7;42;28;14;0;0;0;0
ALBORADA;13;78;75;3;2;24;23;1
"RINCÓN DE GOYA";8;48;45;3;2;24;24;0
"ANGEL RIVIÈRE";7;42;38;4;1;12;9;3
"JEAN PIAGET";14;84;81;3;1;12;9;3
SEGEDA;5;30;23;7;1;12;8;4
